param m:=13;
param n:=52;
param c:=
1 2.000000
2 3.000000
3 1.000000
4 1.000000
5 1.000000
6 1.000000
7 3.000000
8 2.000000
9 1.000000
10 3.000000
11 3.000000
12 1.000000
13 2.000000
14 2.000000
15 1.000000
16 3.000000
17 3.000000
18 3.000000
19 2.000000
20 2.000000
21 3.000000
22 3.000000
23 2.000000
24 1.000000
25 1.000000
26 2.000000
27 3.000000
28 3.000000
29 1.000000
30 3.000000
31 2.000000
32 1.000000
33 2.000000
34 1.000000
35 3.000000
36 1.000000
37 1.000000
38 3.000000
39 2.000000
40 3.000000
41 1.000000
42 1.000000
43 3.000000
44 2.000000
45 2.000000
46 1.000000
47 2.000000
48 2.000000
49 3.000000
50 3.000000
51 2.000000
52 2.000000;
param d:=
1 3
2 3
3 2
4 2
5 1
6 2
7 3
8 1
9 3
10 3
11 2
12 2
13 2;
