# |V| = 21
# |E| = 129
# Prob((i,j)) = 0.600000

set V:=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
;
param: E: w :=
1 2 34
1 3 57
1 4 35
1 5 30
1 6 39
1 7 99
1 8 93
1 9 38
1 10 93
1 11 14
1 12 60
1 13 4
1 14 85
1 15 74
1 16 25
1 17 44
1 18 92
1 19 4
1 20 29
1 21 15
2 4 77
2 6 1
2 7 79
2 9 84
2 10 20
2 13 92
2 17 19
2 18 98
3 4 39
3 6 36
3 7 81
3 8 37
3 9 26
3 10 41
3 11 71
3 14 48
3 15 23
3 16 79
3 17 47
3 19 87
3 20 69
3 21 23
4 5 57
4 8 100
4 11 10
4 14 47
4 15 98
4 16 9
4 18 26
4 19 28
5 7 91
5 9 46
5 10 60
5 11 27
5 12 12
5 13 83
5 14 94
5 15 85
5 17 99
5 19 85
5 20 31
6 7 21
6 8 87
6 10 46
6 12 28
6 13 63
6 16 31
6 17 78
6 19 29
6 20 27
6 21 15
7 10 48
7 12 96
7 13 15
7 14 40
7 16 24
7 18 41
7 19 22
7 20 85
8 9 71
8 10 1
8 11 53
8 12 90
8 13 95
8 14 75
8 17 18
8 20 7
9 10 12
9 11 39
9 15 24
9 16 62
9 18 49
9 19 71
10 12 73
10 14 46
10 15 11
10 17 6
10 18 49
10 19 82
11 12 8
11 13 62
11 15 72
11 16 8
11 17 98
11 19 55
11 20 80
12 16 75
12 18 83
12 19 92
12 21 54
13 14 96
13 16 66
13 18 8
13 21 90
14 16 6
14 19 41
15 16 83
15 17 24
15 18 76
15 19 79
15 21 25
16 18 18
16 19 23
16 20 4
16 21 14
17 18 30
17 21 72
18 21 63
19 20 65
;
