# |V| = 25
# |E| = 184
# Prob((i,j)) = 0.600000

set V:=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
;
param: E: w :=
1 2 18
1 3 23
1 4 94
1 5 47
1 6 83
1 7 34
1 8 39
1 9 3
1 10 4
1 11 55
1 12 8
1 13 80
1 14 40
1 15 68
1 16 92
1 17 7
1 18 66
1 19 95
1 20 17
1 21 78
1 22 4
1 23 44
1 24 62
1 25 22
2 3 26
2 7 33
2 8 17
2 9 84
2 11 15
2 14 14
2 15 82
2 16 50
2 17 35
2 18 32
2 20 1
2 21 82
2 22 15
2 23 60
3 5 25
3 6 80
3 7 41
3 8 4
3 9 43
3 10 12
3 11 14
3 12 55
3 14 73
3 15 35
3 18 7
3 19 73
3 20 89
3 22 35
3 23 19
3 24 17
3 25 19
4 6 9
4 8 47
4 12 9
4 13 50
4 14 88
4 15 40
4 16 12
4 17 57
4 18 11
4 19 24
4 20 18
4 21 64
4 23 63
4 24 71
5 6 21
5 9 57
5 10 73
5 11 35
5 12 18
5 13 63
5 14 32
5 16 46
5 17 86
5 18 28
5 19 31
5 24 100
6 7 76
6 9 63
6 11 22
6 12 22
6 17 67
6 18 53
6 20 4
6 21 58
6 22 91
7 8 80
7 10 31
7 11 40
7 12 50
7 14 84
7 15 14
7 16 20
7 18 66
7 20 59
7 21 41
7 24 80
8 9 30
8 10 52
8 12 90
8 14 1
8 15 3
8 16 42
8 19 22
8 20 47
8 21 61
8 22 6
8 23 5
8 25 86
9 10 91
9 11 98
9 12 66
9 16 26
9 20 54
9 21 47
9 23 72
9 25 66
10 11 98
10 12 33
10 17 45
10 20 88
10 21 31
10 23 65
10 24 10
10 25 69
11 12 79
11 13 41
11 15 34
11 16 31
11 18 5
11 20 7
11 22 53
11 25 56
12 15 35
12 16 85
12 21 34
12 22 29
12 24 74
12 25 31
13 16 34
13 17 67
13 18 14
13 19 100
13 20 17
13 21 34
13 22 2
13 23 64
13 25 72
14 15 70
14 20 68
14 21 45
14 22 48
14 24 26
14 25 76
15 17 14
15 20 95
15 23 63
16 17 96
16 18 25
16 19 89
16 20 94
16 21 57
16 22 17
16 24 34
17 24 43
18 19 79
18 21 7
18 22 53
18 23 97
18 24 6
19 21 81
19 23 47
19 24 29
20 21 21
20 22 35
20 23 17
20 24 87
20 25 40
21 22 69
21 23 80
;
