# |V| = 42
# |E| = 545
# Prob((i,j)) = 0.600000

set V:=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
;
param: E: w :=
1 2 16
1 3 73
1 4 71
1 5 98
1 6 28
1 7 40
1 8 40
1 9 18
1 10 54
1 11 96
1 12 83
1 13 49
1 14 12
1 15 56
1 16 98
1 17 37
1 18 66
1 19 79
1 20 21
1 21 89
1 22 61
1 23 82
1 24 81
1 25 12
1 26 62
1 27 88
1 28 37
1 29 85
1 30 63
1 31 48
1 32 93
1 33 36
1 34 51
1 35 20
1 36 16
1 37 66
1 38 41
1 39 34
1 40 11
1 41 26
1 42 50
2 4 48
2 5 1
2 7 62
2 8 82
2 10 49
2 11 94
2 12 1
2 14 43
2 16 21
2 18 48
2 19 89
2 21 76
2 22 26
2 24 95
2 27 31
2 28 25
2 29 31
2 30 97
2 32 87
2 34 97
2 36 79
2 37 12
2 38 46
2 39 42
2 41 5
2 42 85
3 5 42
3 6 78
3 7 23
3 9 55
3 10 12
3 11 48
3 12 59
3 13 23
3 14 27
3 15 56
3 18 11
3 19 95
3 20 19
3 23 78
3 25 50
3 27 23
3 30 37
3 31 96
3 34 63
3 37 57
3 39 17
4 7 93
4 9 71
4 10 52
4 11 49
4 12 8
4 13 45
4 14 88
4 16 59
4 17 43
4 18 59
4 21 80
4 22 59
4 23 16
4 27 57
4 29 46
4 30 91
4 33 30
4 35 53
4 36 97
4 38 49
4 39 34
4 41 54
4 42 12
5 6 89
5 8 3
5 9 76
5 11 96
5 15 90
5 16 12
5 17 93
5 19 70
5 21 61
5 22 95
5 23 10
5 24 23
5 26 38
5 27 100
5 30 40
5 32 76
5 33 43
5 34 88
5 35 19
5 36 99
5 38 73
5 41 99
5 42 78
6 7 61
6 9 12
6 11 86
6 12 67
6 14 47
6 15 67
6 16 75
6 17 20
6 18 83
6 19 77
6 20 79
6 21 59
6 23 51
6 24 28
6 25 96
6 29 22
6 30 94
6 31 80
6 33 55
6 34 75
6 35 73
6 36 89
6 37 3
6 39 81
6 40 6
6 42 24
7 8 80
7 9 14
7 12 75
7 13 9
7 14 6
7 15 70
7 17 19
7 19 93
7 20 36
7 27 30
7 28 32
7 29 25
7 31 41
7 32 55
7 34 30
7 35 87
7 37 86
7 38 85
7 39 11
7 40 40
7 41 64
7 42 50
8 9 79
8 10 34
8 11 43
