set A :=
a1    a3    a5    a7    a9    a11   a13   a15   a17   a19
a2    a4    a6    a8    a10   a12   a14   a16   a18   a20;

set B :=
b1    b3    b5    b7    b9    b11   b13   b15   b17   b19
b2    b4    b6    b8    b10   b12   b14   b16   b18   b20;

set E :=
(a1,b2)     (a4,b11)    (a9,b1)     (a11,b7)    (a15,b4)    (a18,b7)
(a1,b5)     (a4,b12)    (a9,b2)     (a11,b18)   (a15,b5)    (a18,b9)
(a1,b8)     (a4,b14)    (a9,b4)     (a11,b20)   (a15,b8)    (a18,b10)
(a1,b9)     (a4,b15)    (a9,b7)     (a12,b1)    (a15,b9)    (a18,b11)
(a1,b14)    (a4,b19)    (a9,b9)     (a12,b13)   (a15,b18)   (a18,b15)
(a1,b15)    (a4,b20)    (a9,b11)    (a12,b14)   (a15,b19)   (a18,b20)
(a1,b18)    (a5,b4)     (a9,b12)    (a12,b15)   (a16,b6)    (a19,b1)
(a2,b2)     (a5,b15)    (a9,b13)    (a13,b5)    (a16,b7)    (a19,b2)
(a2,b3)     (a5,b18)    (a9,b15)    (a13,b6)    (a16,b8)    (a19,b6)
(a2,b5)     (a6,b3)     (a9,b16)    (a13,b10)   (a16,b13)   (a19,b13)
(a2,b6)     (a6,b4)     (a9,b17)    (a13,b11)   (a16,b15)   (a19,b14)
(a2,b7)     (a6,b5)     (a9,b18)    (a13,b15)   (a16,b18)   (a19,b15)
(a2,b12)    (a6,b6)     (a9,b19)    (a13,b17)   (a16,b19)   (a19,b16)
(a2,b15)    (a6,b7)     (a10,b3)    (a13,b18)   (a16,b20)   (a19,b17)
(a2,b17)    (a6,b11)    (a10,b5)    (a14,b1)    (a17,b1)    (a19,b19)
(a3,b1)     (a6,b16)    (a10,b6)    (a14,b3)    (a17,b2)    (a20,b4)
(a3,b2)     (a6,b18)    (a10,b7)    (a14,b6)    (a17,b3)    (a20,b7)
(a3,b3)     (a7,b1)     (a10,b10)   (a14,b9)    (a17,b4)    (a20,b9)
(a3,b4)     (a7,b6)     (a10,b14)   (a14,b11)   (a17,b8)    (a20,b13)
(a3,b7)     (a7,b7)     (a10,b18)   (a14,b12)   (a17,b13)   (a20,b16)
(a3,b10)    (a7,b10)    (a10,b19)   (a14,b13)   (a17,b16)   (a20,b18)
(a3,b13)    (a7,b13)    (a10,b20)   (a14,b14)   (a17,b17)   (a20,b19)
(a4,b1)     (a7,b16)    (a11,b1)    (a14,b17)   (a17,b18)
(a4,b2)     (a7,b17)    (a11,b2)    (a14,b18)   (a18,b1)
(a4,b3)     (a8,b3)     (a11,b3)    (a14,b19)   (a18,b3)
(a4,b7)     (a8,b13)    (a11,b5)    (a15,b1)    (a18,b4)
(a4,b10)    (a8,b18)    (a11,b6)    (a15,b3)    (a18,b5);

param 
c [*,*]
:        b1         b10         b11           b12         b13         b14    :=
a1       .           .          .            .             .        -8.05454
a10      .        -53.5436      .            .             .       -39.5105
a11   -15.0721       .          .            .             .          .
a12   -59.2509       .          .            .          -92.7874   -72.902
a13      .        -69.3435   -53.69          .             .          .
a14   -58.7194       .        -0.542168     0.0862768   -68.9702   -91.192
a15   -57.2179       .          .            .             .          .
a16      .           .          .            .          -55.924       .
a17   -78.7988       .          .            .          -80.565       .
a18   -42.2826    -11.7326   -77.9059        .             .          .
a19   -24.6109       .          .            .          -21.8967   -35.6845
a2       .           .          .         -62.9553         .          .
a20      .           .          .            .          -35.3325      .
a3    -14.0254    -86.4368      .            .          -11.042       .
a4     -7.05694   -79.3871   -52.3249       0.503879       .       -50.5747
a6       .           .       -75.2899        .             .          .
a7      3.33832   -23.5508      .            .          -12.0079      .
a8       .           .          .            .          -96.8457      .
a9    -72.2069       .       -50.4031     -70.7803      -26.1827      .

:        b15         b16         b17         b18         b19         b2      :=
a1      3.32565      .           .         -68.0773      .        -56.4479
a10      .           .           .         -19.2182   -27.1443       .
a11      .           .           .         -36.5096      .        -72.2372
a12   -91.6574       .           .            .          .           .
a13   -27.7602       .         -6.29387    -86.5791      .           .
a14      .           .        -44.8447     -76.3041   -40.1361       .
a15      .           .           .         -10.1036     6.07393      .
a16   -76.6884       .           .         -13.9045   -73.8335       .
a17      .        -46.0434    -63.6783     -88.9335      .        -21.3876
a18   -72.5383       .           .            .          .           .
a19   -98.6548    -46.6382     -0.735445      .        -9.89259   -79.8246
a2    -98.1328       .        -44.2982        .          .        -49.1409
a20      .          3.32303      .         -60.1342   -96.2885       .
a3       .           .           .            .          .        -89.8169
a4    -99.9737       .           .            .       -47.8907      9.08613
a5    -63.4051       .           .         -40.822       .           .
a6       .        -68.8196       .         -58.3552      .           .
a7       .        -84.1293    -88.9283        .          .           .
a8       .           .           .         -22.8429      .           .
a9    -91.0939    -90.7799     -8.80024    -76.0949   -36.779     -20.8033

:       b20         b3          b4           b5          b6          b7      :=
a1       .          .           .         -2.27602       .           .
a10   -37.9332    -6.86794      .        -72.0516      -3.79621   -16.0686
a11   -35.6491     8.08758      .        -88.6227     -74.9982    -72.5134
a13      .          .           .          0.964163   -11.0985       .
a14      .       -17.964        .           .           9.17875      .
a15      .       -17.5323    -76.0859     -9.34681       .           .
a16   -55.3015      .           .           .         -19.4435    -24.2638
a17      .       -72.0144    -23.0277       .            .           .
a18   -31.3045   -24.8143      1.88997   -21.0436        .        -36.7479
a19      .          .           .           .         -45.6705       .
a2       .       -43.353        .        -72.1952     -84.8282    -25.2121
a20      .          .        -81.9032       .            .          6.46855
a3       .       -97.2285    -73.9737       .            .        -89.1046
a4    -70.2076    -8.21675      .           .            .        -43.3244
a5       .          .        -12.6925       .            .           .
a6       .       -43.593     -37.9081    -35.4757     -60.637     -29.2062
