set A :=
a1     a20    a39    a58    a77    a96    a115   a134   a153   a172   a191
a2     a21    a40    a59    a78    a97    a116   a135   a154   a173   a192
a3     a22    a41    a60    a79    a98    a117   a136   a155   a174   a193
a4     a23    a42    a61    a80    a99    a118   a137   a156   a175   a194
a5     a24    a43    a62    a81    a100   a119   a138   a157   a176   a195
a6     a25    a44    a63    a82    a101   a120   a139   a158   a177   a196
a7     a26    a45    a64    a83    a102   a121   a140   a159   a178   a197
a8     a27    a46    a65    a84    a103   a122   a141   a160   a179   a198
a9     a28    a47    a66    a85    a104   a123   a142   a161   a180   a199
a10    a29    a48    a67    a86    a105   a124   a143   a162   a181   a200
a11    a30    a49    a68    a87    a106   a125   a144   a163   a182
a12    a31    a50    a69    a88    a107   a126   a145   a164   a183
a13    a32    a51    a70    a89    a108   a127   a146   a165   a184
a14    a33    a52    a71    a90    a109   a128   a147   a166   a185
a15    a34    a53    a72    a91    a110   a129   a148   a167   a186
a16    a35    a54    a73    a92    a111   a130   a149   a168   a187
a17    a36    a55    a74    a93    a112   a131   a150   a169   a188
a18    a37    a56    a75    a94    a113   a132   a151   a170   a189
a19    a38    a57    a76    a95    a114   a133   a152   a171   a190;

set B :=
b1     b20    b39    b58    b77    b96    b115   b134   b153   b172   b191
b2     b21    b40    b59    b78    b97    b116   b135   b154   b173   b192
b3     b22    b41    b60    b79    b98    b117   b136   b155   b174   b193
b4     b23    b42    b61    b80    b99    b118   b137   b156   b175   b194
b5     b24    b43    b62    b81    b100   b119   b138   b157   b176   b195
b6     b25    b44    b63    b82    b101   b120   b139   b158   b177   b196
b7     b26    b45    b64    b83    b102   b121   b140   b159   b178   b197
b8     b27    b46    b65    b84    b103   b122   b141   b160   b179   b198
b9     b28    b47    b66    b85    b104   b123   b142   b161   b180   b199
b10    b29    b48    b67    b86    b105   b124   b143   b162   b181   b200
b11    b30    b49    b68    b87    b106   b125   b144   b163   b182
b12    b31    b50    b69    b88    b107   b126   b145   b164   b183
b13    b32    b51    b70    b89    b108   b127   b146   b165   b184
b14    b33    b52    b71    b90    b109   b128   b147   b166   b185
b15    b34    b53    b72    b91    b110   b129   b148   b167   b186
b16    b35    b54    b73    b92    b111   b130   b149   b168   b187
b17    b36    b55    b74    b93    b112   b131   b150   b169   b188
b18    b37    b56    b75    b94    b113   b132   b151   b170   b189
b19    b38    b57    b76    b95    b114   b133   b152   b171   b190;

set E :=
(a1,b1)       (a41,b68)     (a81,b94)     (a121,b46)    (a161,b125)
(a1,b3)       (a41,b70)     (a81,b96)     (a121,b47)    (a161,b129)
(a1,b7)       (a41,b75)     (a81,b98)     (a121,b52)    (a161,b130)
(a1,b9)       (a41,b78)     (a81,b99)     (a121,b54)    (a161,b131)
(a1,b13)      (a41,b79)     (a81,b100)    (a121,b55)    (a161,b133)
(a1,b18)      (a41,b80)     (a81,b104)    (a121,b56)    (a161,b137)
(a1,b21)      (a41,b83)     (a81,b105)    (a121,b60)    (a161,b138)
(a1,b22)      (a41,b84)     (a81,b106)    (a121,b61)    (a161,b139)
(a1,b23)      (a41,b86)     (a81,b107)    (a121,b62)    (a161,b146)
(a1,b28)      (a41,b93)     (a81,b108)    (a121,b66)    (a161,b148)
(a1,b30)      (a41,b96)     (a81,b112)    (a121,b68)    (a161,b150)
(a1,b32)      (a41,b97)     (a81,b115)    (a121,b69)    (a161,b151)
(a1,b33)      (a41,b98)     (a81,b118)    (a121,b70)    (a161,b152)
(a1,b34)      (a41,b107)    (a81,b120)    (a121,b73)    (a161,b153)
(a1,b35)      (a41,b109)    (a81,b121)    (a121,b82)    (a161,b154)
(a1,b41)      (a41,b110)    (a81,b122)    (a121,b85)    (a161,b155)
(a1,b42)      (a41,b114)    (a81,b123)    (a121,b89)    (a161,b161)
(a1,b49)      (a41,b122)    (a81,b125)    (a121,b91)    (a161,b163)
(a1,b50)      (a41,b124)    (a81,b126)    (a121,b97)    (a161,b164)
(a1,b52)      (a41,b126)    (a81,b129)    (a121,b100)   (a161,b166)
(a1,b53)      (a41,b129)    (a81,b131)    (a121,b102)   (a161,b168)
(a1,b54)      (a41,b131)    (a81,b133)    (a121,b103)   (a161,b177)
(a1,b56)      (a41,b133)    (a81,b135)    (a121,b105)   (a161,b178)
(a1,b59)      (a41,b134)    (a81,b138)    (a121,b111)   (a161,b182)
(a1,b62)      (a41,b135)    (a81,b142)    (a121,b112)   (a161,b184)
(a1,b66)      (a41,b139)    (a81,b143)    (a121,b117)   (a161,b185)
(a1,b67)      (a41,b141)    (a81,b145)    (a121,b123)   (a161,b187)
(a1,b69)      (a41,b143)    (a81,b149)    (a121,b124)   (a161,b188)
(a1,b70)      (a41,b148)    (a81,b153)    (a121,b128)   (a161,b189)
(a1,b71)      (a41,b152)    (a81,b155)    (a121,b130)   (a161,b190)
(a1,b72)      (a41,b154)    (a81,b156)    (a121,b131)   (a161,b195)
(a1,b80)      (a41,b163)    (a81,b158)    (a121,b136)   (a161,b196)
(a1,b81)      (a41,b172)    (a81,b160)    (a121,b137)   (a161,b198)
(a1,b82)      (a41,b176)    (a81,b164)    (a121,b140)   (a162,b1)
(a1,b83)      (a41,b177)    (a81,b165)    (a121,b141)   (a162,b3)
(a1,b89)      (a41,b179)    (a81,b166)    (a121,b146)   (a162,b4)
(a1,b90)      (a41,b184)    (a81,b168)    (a121,b150)   (a162,b6)
(a1,b91)      (a41,b189)    (a81,b171)    (a121,b154)   (a162,b10)
(a1,b97)      (a41,b190)    (a81,b174)    (a121,b156)   (a162,b12)
(a1,b98)      (a41,b193)    (a81,b176)    (a121,b157)   (a162,b15)
(a1,b100)     (a41,b194)    (a81,b178)    (a121,b159)   (a162,b17)
(a1,b107)     (a41,b195)    (a81,b181)    (a121,b160)   (a162,b21)
(a1,b108)     (a41,b199)    (a81,b182)    (a121,b162)   (a162,b22)
(a1,b109)     (a42,b1)      (a81,b184)    (a121,b165)   (a162,b27)
(a1,b112)     (a42,b3)      (a81,b186)    (a121,b166)   (a162,b30)
(a1,b114)     (a42,b4)      (a81,b189)    (a121,b167)   (a162,b31)
(a1,b118)     (a42,b7)      (a81,b194)    (a121,b168)   (a162,b32)
(a1,b121)     (a42,b10)     (a81,b197)    (a121,b170)   (a162,b34)
(a1,b122)     (a42,b13)     (a82,b2)      (a121,b173)   (a162,b35)
(a1,b123)     (a42,b15)     (a82,b4)      (a121,b177)   (a162,b38)
(a1,b124)     (a42,b16)     (a82,b7)      (a121,b178)   (a162,b39)
(a1,b125)     (a42,b22)     (a82,b12)     (a121,b180)   (a162,b42)
(a1,b127)     (a42,b23)     (a82,b13)     (a121,b181)   (a162,b43)
(a1,b128)     (a42,b28)     (a82,b14)     (a121,b183)   (a162,b44)
(a1,b130)     (a42,b31)     (a82,b15)     (a121,b184)   (a162,b45)
(a1,b132)     (a42,b32)     (a82,b18)     (a121,b185)   (a162,b48)
(a1,b138)     (a42,b35)     (a82,b21)     (a121,b186)   (a162,b49)
(a1,b139)     (a42,b40)     (a82,b26)     (a121,b187)   (a162,b51)
(a1,b143)     (a42,b45)     (a82,b28)     (a121,b188)   (a162,b53)
(a1,b145)     (a42,b46)     (a82,b33)     (a121,b190)   (a162,b57)
(a1,b146)     (a42,b48)     (a82,b37)     (a121,b193)   (a162,b59)
(a1,b147)     (a42,b50)     (a82,b45)     (a121,b198)   (a162,b66)
(a1,b148)     (a42,b59)     (a82,b46)     (a122,b2)     (a162,b67)
