set S :=
263    1094   369    1611   622    208    32     672    592    885
1457   385    1362   1125   1995   726    924    699    320    1198
1439   1180   1510   2013   1963   1649   58     89     295    2042
1669   1474   1505   1566   1965   336    397    1272   1018   1406
986    211    1258   1854   1972   1499   352    1121   1466   38
282    1968   1861   951    55     1169   923    1113   296    650
431    1707   419    1750   926    811    712    775    1024
1050   137    1835   825    2007   1730   270    1107   849;


param lambda:=491;
