set S :=
1692   1640   1434   1283   4159   3086   4902   4589   6037   3991   2382
5825   505    3625   4760   4565   2712   766    2955   5811   56     2426
5082   6113   2590   1694   1221   2141   405    1734   6563   4259   4968
2813   5383   4993   4661   3289   4378   87     2213   3336   5711   958
3662   1856   1448   2218   4729   2567   4510   1000   911    4355   787
4891   2804   5489   1176   3894   5096   2733   4122   3002   1986   3590
4411   4374   6517   3267   81     1621   2581   2249   4077   718    6500
3758   5674   3123   2199   3231   4802   1846   664    3879   2791   5775
5142   812    5443   670    6010   6462   5325   1912   5195   2928   6084
1681   2499   6423   3495   5456   2530   1735   963    622    4406   5245
6545   4967   4878   4552   1095   3238   4420   2850   3706   5274   2125
688    6611   4586   6169   6447   5807   1579   571    3012   5771   3084
1513   5590   5430   4781   2144   1231   6338   663    3392   2595   6375
1664   6022   2668   3830   3915   788    335    3945   6374   1351
3844   6060   1411   3179   6256   5413   3851   1209   3740   6444
3896   1878   5213   5344   2414   6057   4995   2774   5163   2608
2467   533    1584   1337   224    6299   545    4131   4663   5526
436    3339   2706   1662   2089   5596   657    1620   2105   831;


param lambda:=3396;
