set S :=
700    2296   2739   757    1095   1125   2956   186    2808   1793   2741
24     1694   1544   1799   2115   583    873    1830   2400   2370   202
2552   2241   1732   2743   1887   2246   2015   149    2326   1827
25     1577   2429   2814   1985   2804   615    2384   3023   2676
1229   1309   3117   2343   100    1183   1267   233    2686   2539
672    810    1821   1437   108    3090   251    351    2772   1096
2082   2449   2575   2402   1541   1230   1195   32     1844   323
2559   119    1940   2874   2102   1777   1436   2911   2042   1022
3122   478    1388   3128   1664   1768   1700   1958   122    3120
1597   2776   1175   2162   571    1210   752    951    349    3039
1609   1622   98     266    2543   2658   781    47     2310   2824;


param lambda:=278;
