#obtenido de TSPLIB (http://elib.zib.de/pub/mp-testdata/tsp/tsplib/tsplib.html)
#datos de la instancia ftv55.atsp

param n=56;
param c
:      1       2       3       4       5       6       7       8       9     :=
1        .      56      39      76     109     156     140     141     135
2       57       .      16      20      53     100      84      87     107
3       41      62       .      82      97     144     131     102      96
4      120      63      79       .      33      80      64      67      87
5      135     161     174     142       .      47      34      34      54
6      171     114     130      95      60       .      40      94     114
7      169     132     148     113      34      31       .      68      88
8      101     157     140     176      34      81      68       .      20
9      121     177     160     196      54     101      88      20       .
10     105     161     144     181      91     138     125      57      37
11      68     124     107     144      67     114     101      33      27
12     109     165     148     185     108     155     142      74      68
13      64     120     103     140      88     135     122      63      57
14     177     221     216     202      60     107      94      76      96
15      39      95      78     115      87     134     121      62      56
16      48     104      87     124     119     166     153      94      88
17      41      97      80     117     115     162     149      90      84
18      32      88      71     108     122     169     156      97      91
19     134     190     173     210     133     180     167      99      93
20     153     209     192     229     152     199     186     118     112
21     179     235     218     255     178     225     212     144     138
22     165     199     204     219     243     290     277     209     203
23     205     239     244     259     237     284     271     203     197
24     134     168     173     188     212     259     246     178     172
25     146     180     185     200     178     225     212     144     138
26     166     200     205     220     198     245     232     164     158
27      16      72      55      92     125     172     156     105      99
28      98     132     137     152     185     232     216     187     181
29      80     114     119     134     167     214     198     169     163
30      52     101      91     121     154     201     185     141     135
31     124      86     102     106     139     186     170     173     193
32     108      70      86      51      84     131     115     118     138
33     128     184     167     203      61     108      95      27       7
34      53      36      19      56      89     136     120     121     115
35      87      30      46      50      83     130     114     117     137
36     155     199     194     180      38      85      72      54      74
37     116     172     155     192      91     138     122      57      37
38     126     182     165     202     112     159     146      78      58
39      97     153     136     173      96     143     130      62      56
40     115     171     154     191     114     161     148      80      74
41     190     240     229     260     189     236     223     155     149
42     175     209     214     229     253     300     287     219     213
43     199     233     238     253     277     324     311     243     237
44     124     158     163     178     211     250     219     213     207
45      89     123     128     143     176     215     184     178     172
46      99      84     100     104     137     184     168     171     182
47      90      52      68      72     105     152     136     139     159
48     160     103     119      84     117     119      88     151     171
49      98      41      57      22      55     102      86      89     109
50      89     123     128     143     176     223     207     178     172
51     151     185     190     205     229     276     263     195     189
52      62     118     101     138      73     120     107      39      33
53       7      63      46      83     116     163     147      96      90
54     150     184     189     204     237     276     245     239     233
55     112     146     151     166     199     246     230     201     195
56      95      38      54      58      91     138     122     125     145

:     10      11      12      13      14      15      16      17      18     :=
1      183     108     155     104      76      79     104      97      88
2      155      85     132      81      53      56      81      74      65
3      144      69     116      65      37      40      65      58      49
4      135     100     147     130     116     119     144     137     128
5      102      67     114      97      97      96     128     135     131
6      162     127     174     157     157     156     188     188     179
7      133     101     148     131     131     130     162     169     165
8       68      33      80      63      63      62      94     101      97
9       48      53     100      83      83      82     114     121     117
10       .      37      53      67      67      66      98     105     101
11      75       .      47      30      30      29      61      68      64
12      88      41       .      71      71      70     102     109     105
