#obtenido de TSPLIB (http://elib.zib.de/pub/mp-testdata/tsp/tsplib/tsplib.html)
#datos de la instancia ftv64.atsp

param n=65;
param c
:      1       2       3       4       5       6       7       8       9     :=
1        .      26      82      65     102     100     147      75      69
2       66       .      56      39      76     109     156     141     135
3       43      57       .      16      20      53     100      87     107
4       27      41      62       .      82      97     144     102      96
5      106     120      63      79       .      33      80      67      87
6      109     135     161     174     142       .      47      34      54
7      157     171     114     130      95      60       .      94     114
8       75     101     157     140     176      34      81       .      20
9       95     121     177     160     196      54     101      20       .
10      79     105     161     144     181      91     138      57      37
11      42      68     124     107     144      67     114      33      27
12      83     109     165     148     185     108     155      74      68
13     204     230     286     269     306     216     255     182     162
14      38      64     120     103     140      88     135      63      57
15     151     177     221     216     202      60     107      76      96
16      13      39      95      78     115      87     134      62      56
17      38      48     104      87     124     119     166      94      88
18      31      41      97      80     117     115     162      90      84
19      22      32      88      71     108     122     169      97      91
20     108     134     190     173     210     133     180      99      93
21     127     153     209     192     229     152     199     118     112
22     153     179     235     218     255     178     225     144     138
23     179     165     199     204     219     243     290     209     203
24     212     205     239     244     259     237     284     203     197
25     184     170     204     209     224     248     295     214     208
26     148     134     168     173     188     212     259     178     172
27     153     146     180     185     200     178     225     144     138
28     173     166     200     205     220     198     245     164     158
29      30      16      72      55      92     125     172     105      99
30     112      98     132     137     152     185     232     187     181
31     144     130     164     169     184     217     256     219     213
32      94      80     114     119     134     167     214     169     163
33      66      52     101      91     121     154     201     141     135
34     129     124      86     102     106     139     186     173     193
35     113     108      70      86      51      84     131     118     138
36     146     172     228     211     248     171     218     137     131
37     102     128     184     167     203      61     108      27       7
38      46      53      36      19      56      89     136     121     115
39      73      87      30      46      50      83     130     117     137
40     137     163     189     202     170      28      75      62      82
41     117     143     199     182     204      73     109      42      51
42      90     116     172     155     192      91     138      57      37
43     101     127     183     166     203     126     173      92      83
44     100     126     182     165     202     112     159      78      58
45      92     118     174     157     194     117     164      83      77
46      71      97     153     136     173      96     143      62      56
47      89     115     171     154     191     114     161      80      74
48     132     158     202     197     183      41      88      57      77
49     164     190     240     229     260     189     236     155     149
50     189     175     209     214     229     253     300     219     213
51      54      40      89      79     109     142     189     129     123
52     178     164     198     203     218     251     290     236     230
53     138     124     158     163     178     211     250     213     207
54     103      89     123     128     143     176     215     178     172
55      47      33      82      72     102     135     182     122     116
56     113      99      84     100     104     137     184     171     182
57      95      90      52      68      72     105     152     139     159
58     146     160     103     119      84     117     119     151     171
59     114     128      71      87      52      85     120     119     139
60     165     151     185     190     205     229     276     195     189
61      36      62     118     101     138      73     120      39      33
62      21       7      63      46      83     116     163      96      90
63     164     150     184     189     204     237     276     239     233
64     126     112     146     151     166     199     246     201     195
65      81      95      38      54      58      91     138     125     145

:     10      11      12      13      14      15      16      17      18     :=
1      117      42      89     125      38      40      13      38      31
2      183     108     155     190     104      76      79     104      97
3      155      85     132     168      81      53      56      81      74
4      144      69     116     152      65      37      40      65      58
5      135     100     147     208     130     116     119     144     137
6      102      67     114     175      97      97      96     128     135
7      162     127     174     235     157     157     156     188     188
8       68      33      80     141      63      63      62      94     101
9       48      53     100     158      83      83      82     114     121
